age,annual_income,monthly_income_reported,employment_years,credit_score,loan_amount,debt_to_income,num_late_payments,num_credit_cards,has_cosigner,random_noise,defaulted
36.0,35679.0,2887.0,0.5,657.0,11441.0,0.11,1,2,0,0.116,0
22.0,73513.0,6027.0,1.3,659.0,49394.0,0.333,0,4,0,-0.837,0
27.0,73666.0,6060.0,1.8,837.0,38569.0,0.419,0,1,1,0.893,0
41.0,34296.0,2874.0,7.3,562.0,22597.0,0.336,0,0,0,0.124,0
47.0,74559.0,6343.0,6.5,598.0,33728.0,0.358,2,2,0,-1.703,0
60.0,67476.0,5681.0,33.2,601.0,35641.0,0.197,2,2,0,0.912,0
70.0,108503.0,9178.0,40.0,699.0,48446.0,0.337,0,3,1,0.075,0
43.0,71054.0,5890.0,0.9,677.0,33785.0,0.223,1,2,0,-0.16,0
27.0,88561.0,7469.0,1.9,621.0,50203.0,0.306,2,4,0,0.259,0
21.0,68171.0,5664.0,0.4,723.0,9587.0,0.35,0,1,1,-1.682,0
41.0,85482.0,7061.0,10.9,691.0,53548.0,0.271,0,0,0,-0.812,0
29.0,30819.0,2666.0,0.8,726.0,9751.0,0.382,1,1,1,0.178,0
33.0,52068.0,4137.0,11.1,750.0,3095.0,0.284,1,0,0,-0.998,0
31.0,54044.0,4335.0,10.5,516.0,28792.0,0.327,5,3,0,0.699,1
36.0,49286.0,4139.0,6.6,711.0,25147.0,0.489,0,3,0,-1.278,0
50.0,67160.0,5567.0,25.5,582.0,39918.0,0.35,2,6,0,-0.161,1
40.0,73171.0,5922.0,13.3,684.0,58445.0,0.225,1,2,0,1.367,0
36.0,65618.0,5353.0,9.6,660.0,25990.0,0.252,1,3,0,-0.869,0
27.0,50790.0,4154.0,5.4,661.0,39616.0,0.387,1,1,0,0.012,0
21.0,39498.0,3350.0,0.5,576.0,19091.0,0.404,1,2,1,-0.916,1
33.0,90113.0,7692.0,6.9,736.0,28693.0,0.296,0,2,0,-1.545,0
37.0,64374.0,5540.0,4.8,572.0,35943.0,0.147,1,1,0,0.614,1
57.0,34777.0,2806.0,26.7,726.0,6863.0,0.205,1,3,0,-0.051,0
39.0,50409.0,4086.0,3.1,561.0,39053.0,0.318,2,0,1,0.071,1
49.0,25100.0,2032.0,7.0,662.0,9558.0,0.358,0,2,0,0.296,0
33.0,55882.0,4777.0,6.0,789.0,3240.0,0.4,0,0,1,-0.834,0
25.0,50303.0,4227.0,1.9,826.0,27239.0,0.097,0,4,1,-1.209,0
27.0,42471.0,3545.0,1.8,548.0,5956.0,0.387,3,2,0,0.184,0
30.0,112213.0,9394.0,1.9,612.0,13094.0,0.443,0,2,0,1.48,0
61.0,32690.0,2721.0,35.7,641.0,2212.0,0.061,1,4,0,0.318,0
29.0,75581.0,6157.0,5.3,821.0,53831.0,0.299,0,2,0,-1.414,0
47.0,147135.0,12387.0,10.3,660.0,11073.0,0.376,0,0,0,2.939,0
28.0,89309.0,7415.0,6.8,739.0,40448.0,0.159,2,6,0,-1.236,0
48.0,54225.0,4410.0,23.3,693.0,22616.0,0.25,0,2,0,-1.832,0
42.0,33016.0,2783.0,2.5,577.0,24210.0,0.356,2,1,1,1.76,0
36.0,29797.0,2462.0,9.2,534.0,21852.0,0.248,1,6,0,-0.813,1
38.0,45702.0,3826.0,5.4,620.0,33849.0,0.264,0,2,0,-0.495,0
31.0,40374.0,3356.0,5.8,825.0,14131.0,0.322,0,4,0,1.16,0
43.0,39787.0,3375.0,16.4,686.0,16119.0,0.183,0,3,0,1.668,0
33.0,47489.0,3975.0,0.1,734.0,31782.0,0.193,0,3,0,-0.182,0
25.0,52527.0,4300.0,2.3,562.0,7360.0,0.347,2,2,0,0.741,0
24.0,68421.0,5738.0,1.2,638.0,9292.0,0.395,2,1,0,1.812,0
40.0,31511.0,2645.0,10.6,720.0,23359.0,0.34,0,5,0,-1.181,0
55.0,40460.0,3406.0,3.9,586.0,2916.0,0.436,2,2,0,0.29,0
40.0,51187.0,4354.0,16.2,664.0,17258.0,0.342,0,10,0,-0.385,0
37.0,50368.0,4146.0,9.1,603.0,9883.0,0.485,2,3,0,-1.209,1
41.0,125678.0,10613.0,4.5,720.0,14200.0,0.307,0,1,0,0.931,0
52.0,61059.0,4913.0,24.9,700.0,47651.0,0.325,1,1,1,1.196,0
40.0,26608.0,2212.0,0.8,708.0,4642.0,0.34,0,1,0,0.64,1
33.0,66388.0,5502.0,8.0,725.0,24828.0,0.237,0,6,1,0.576,0
50.0,70308.0,6029.0,15.1,652.0,17024.0,0.222,3,5,0,-0.276,0
43.0,51989.0,4319.0,0.9,731.0,21751.0,0.21,0,1,0,0.321,0
55.0,31859.0,2687.0,8.7,623.0,19917.0,0.244,1,3,0,0.56,1
40.0,121323.0,9754.0,1.5,705.0,66095.0,0.507,0,2,0,2.344,1
25.0,33984.0,2812.0,3.3,524.0,16272.0,0.482,2,4,0,-1.614,1
23.0,74046.0,6066.0,2.1,609.0,32063.0,0.267,2,5,0,-0.609,1
56.0,60181.0,5263.0,3.2,824.0,8960.0,0.258,0,2,0,-0.192,0
57.0,72074.0,5926.0,4.0,705.0,25361.0,0.085,1,2,0,0.479,0
36.0,118560.0,9894.0,14.1,710.0,86424.0,0.201,1,4,0,1.488,1
34.0,70815.0,5916.0,2.8,604.0,47120.0,0.219,2,2,0,1.022,1
54.0,42774.0,3451.0,10.3,589.0,4216.0,0.256,2,6,0,-0.292,0
26.0,90471.0,7460.0,4.0,643.0,61550.0,0.243,0,3,0,0.644,0
28.0,41402.0,3478.0,0.5,656.0,27782.0,0.321,0,2,0,-0.114,0
45.0,59201.0,4942.0,23.8,806.0,38568.0,0.377,0,1,0,0.255,0
34.0,30736.0,2444.0,0.3,731.0,20320.0,0.227,1,4,1,1.033,0
38.0,34548.0,2846.0,15.2,675.0,27199.0,0.444,1,3,1,-2.658,0
36.0,56287.0,4786.0,5.8,668.0,5145.0,0.335,0,3,1,-0.269,0
42.0,64908.0,5473.0,3.3,715.0,21929.0,0.389,2,2,0,-0.976,0
53.0,25566.0,2182.0,12.6,574.0,19847.0,0.256,0,2,0,-0.881,0
39.0,68794.0,5620.0,18.5,535.0,31955.0,0.355,3,0,0,-0.612,1
45.0,38038.0,3251.0,13.3,719.0,21367.0,0.345,1,2,1,-1.871,0
21.0,97826.0,8145.0,0.1,665.0,31441.0,0.447,1,6,1,1.283,0
37.0,46944.0,4037.0,16.4,576.0,9808.0,0.365,0,6,1,2.553,0
29.0,33172.0,2765.0,1.3,514.0,26001.0,0.385,3,4,0,0.192,1
25.0,56909.0,4548.0,0.3,723.0,18281.0,0.247,0,5,0,1.617,0
28.0,36417.0,3086.0,0.4,624.0,17140.0,0.42,3,6,1,-0.654,1
34.0,97354.0,8041.0,11.8,694.0,22670.0,0.172,0,4,1,1.333,0
48.0,55013.0,4550.0,4.3,644.0,42647.0,0.243,1,0,0,-0.462,1
23.0,51371.0,4157.0,0.6,658.0,12525.0,0.328,0,7,0,-0.571,0
38.0,71783.0,6176.0,17.3,627.0,52793.0,0.185,0,2,1,0.164,0
33.0,34992.0,2886.0,7.8,659.0,9408.0,0.208,2,4,0,1.816,0
34.0,30791.0,2647.0,4.1,702.0,23407.0,0.208,1,3,1,1.159,0
49.0,66095.0,5460.0,17.0,649.0,21514.0,0.338,2,2,0,1.472,1
44.0,33531.0,2742.0,5.8,640.0,23608.0,0.284,3,1,1,-1.425,0
53.0,33526.0,2868.0,16.2,711.0,16759.0,0.396,1,1,0,-1.096,0
36.0,80148.0,6669.0,5.5,710.0,10849.0,0.488,2,4,1,-0.484,0
30.0,69659.0,5798.0,6.4,584.0,18927.0,0.327,0,4,0,1.485,0
36.0,31284.0,2540.0,11.8,664.0,19417.0,0.249,0,2,1,0.699,0
41.0,41626.0,3437.0,7.2,627.0,22921.0,0.337,3,3,0,-1.782,0
40.0,36622.0,3078.0,2.9,662.0,11612.0,0.21,3,3,0,-0.275,0
26.0,122324.0,9929.0,2.2,761.0,24038.0,0.294,0,3,0,-0.668,0
39.0,82685.0,6816.0,14.4,692.0,55533.0,0.546,0,3,1,-0.134,0
41.0,45511.0,3761.0,16.1,820.0,23520.0,0.28,1,1,0,2.273,0
66.0,71280.0,5948.0,35.9,693.0,40022.0,0.33,0,4,0,-0.191,0
59.0,29876.0,2563.0,37.7,667.0,12228.0,0.284,0,1,0,-0.396,0
29.0,40636.0,3366.0,7.1,662.0,12709.0,0.259,1,1,1,-1.174,0
35.0,57658.0,4738.0,14.4,677.0,19413.0,0.348,1,1,0,0.841,1
22.0,67413.0,5926.0,1.2,683.0,4944.0,0.173,1,2,0,-0.123,0
32.0,52640.0,4349.0,2.6,592.0,39892.0,0.283,4,2,0,-0.857,1
41.0,61494.0,5105.0,13.1,650.0,19980.0,0.164,0,5,1,0.651,0
51.0,56973.0,4714.0,6.2,612.0,23486.0,0.454,2,3,0,-0.362,0
30.0,51097.0,4235.0,0.9,732.0,16242.0,0.399,1,5,0,-0.209,0
31.0,48138.0,4018.0,3.3,527.0,15230.0,0.223,1,1,0,-1.024,1
21.0,45400.0,3853.0,0.4,671.0,25615.0,0.114,0,2,0,-1.929,1
36.0,61051.0,5129.0,11.5,559.0,33747.0,0.349,0,2,0,0.808,1
26.0,66168.0,5633.0,2.3,691.0,43517.0,0.296,1,2,0,0.404,0
32.0,60135.0,5116.0,0.0,632.0,6245.0,0.524,0,1,0,0.304,1
28.0,32361.0,2708.0,7.7,537.0,22832.0,0.44,6,0,0,-0.145,1
37.0,35086.0,2946.0,10.0,731.0,26929.0,0.364,0,4,0,-0.568,0
21.0,65814.0,5606.0,0.2,484.0,52113.0,0.247,2,5,0,0.094,1
22.0,106654.0,8690.0,0.5,658.0,15635.0,0.274,1,3,0,0.677,0
61.0,58905.0,5154.0,5.1,711.0,24447.0,0.33,0,2,0,0.384,0
24.0,45699.0,3769.0,3.5,758.0,34470.0,0.336,1,3,0,-0.71,0
26.0,60842.0,5035.0,1.4,548.0,37674.0,0.229,1,1,1,0.962,1
58.0,32975.0,2681.0,35.9,642.0,3138.0,0.164,1,5,0,0.054,0
70.0,99123.0,8065.0,13.2,742.0,69656.0,0.493,0,4,1,0.032,0
25.0,59818.0,5082.0,4.1,743.0,40611.0,0.303,1,3,0,-0.554,0
34.0,40694.0,3545.0,0.1,750.0,25846.0,0.342,1,4,1,-0.462,0
42.0,51023.0,4204.0,10.5,845.0,18311.0,0.214,1,1,0,0.206,0
57.0,43387.0,3641.0,13.7,631.0,22745.0,0.437,4,0,0,-1.336,1
27.0,99244.0,8307.0,2.4,687.0,58251.0,0.404,0,3,0,-0.413,1
35.0,50216.0,4268.0,15.2,643.0,17449.0,0.306,3,3,1,-0.536,0
47.0,58983.0,5133.0,19.1,531.0,37631.0,0.321,1,0,0,-0.207,1
43.0,71201.0,6114.0,5.8,657.0,18154.0,0.328,2,3,0,0.275,0
34.0,39409.0,3268.0,10.4,526.0,7398.0,0.31,1,2,0,-1.397,1
37.0,60009.0,5054.0,2.1,625.0,41657.0,0.356,0,0,0,1.685,0
23.0,62230.0,5251.0,2.7,559.0,18948.0,0.338,3,2,1,-0.035,0
35.0,27330.0,2277.0,6.6,694.0,2530.0,0.282,1,4,1,0.572,0
35.0,61624.0,5023.0,2.9,607.0,41567.0,0.183,2,4,1,0.941,1
41.0,53879.0,4418.0,5.6,538.0,34982.0,0.297,2,2,1,1.83,0
32.0,58313.0,4971.0,1.8,722.0,38008.0,0.375,0,4,0,0.163,1
43.0,55889.0,4774.0,21.6,629.0,17083.0,0.367,2,2,0,-0.903,0
49.0,61803.0,5129.0,8.9,634.0,31052.0,0.431,3,2,1,-1.258,0
40.0,100398.0,8410.0,2.8,593.0,6068.0,0.442,0,8,0,0.453,0
42.0,32348.0,2760.0,17.8,749.0,1673.0,0.37,0,0,0,-0.349,0
39.0,47151.0,3795.0,4.0,681.0,11526.0,0.319,0,0,1,1.638,1
38.0,74241.0,6131.0,1.7,618.0,32961.0,0.334,1,2,0,-0.715,0
30.0,68289.0,5920.0,6.7,529.0,34161.0,0.243,3,5,0,-1.004,1
41.0,67631.0,5670.0,0.2,836.0,10148.0,0.38,1,2,1,-1.064,0
37.0,189890.0,15467.0,14.1,806.0,133065.0,0.432,0,5,1,2.346,0
61.0,72508.0,6056.0,23.1,773.0,55807.0,0.404,3,2,0,1.605,0
55.0,91492.0,7780.0,8.7,615.0,12755.0,0.356,3,1,0,-1.011,0
42.0,47902.0,3789.0,10.5,630.0,31993.0,0.276,0,5,0,-0.331,0
30.0,35182.0,2942.0,2.5,689.0,17966.0,0.264,1,4,0,-0.388,0
26.0,47746.0,3949.0,3.1,599.0,20378.0,0.284,3,2,0,-1.751,0
51.0,75771.0,6107.0,17.8,600.0,31581.0,0.227,1,2,0,-0.114,0
41.0,66050.0,5513.0,16.1,770.0,40447.0,0.327,0,2,0,0.671,0
43.0,65943.0,5480.0,10.9,662.0,13630.0,0.02,1,2,1,0.078,0
21.0,49943.0,4160.0,0.8,582.0,25307.0,0.246,1,3,1,-0.253,0
48.0,46485.0,3847.0,2.0,728.0,11436.0,0.307,1,5,0,-0.391,0
43.0,50724.0,4141.0,21.2,630.0,5776.0,0.55,3,3,0,-0.41,1
26.0,76199.0,6165.0,1.1,522.0,35407.0,0.3,1,1,0,0.202,1
33.0,80291.0,6599.0,10.7,586.0,20190.0,0.304,3,0,0,1.44,1
41.0,34971.0,2964.0,10.3,629.0,21227.0,0.217,0,2,0,-0.364,0
39.0,77508.0,6489.0,1.9,676.0,41685.0,0.472,0,4,0,-0.759,1
35.0,41038.0,3415.0,5.3,675.0,8956.0,0.219,2,5,0,-0.904,0
37.0,67921.0,5542.0,15.5,754.0,47285.0,0.503,0,5,0,1.884,0
35.0,50448.0,4173.0,12.7,650.0,15652.0,0.226,3,2,0,1.858,0
40.0,111268.0,9409.0,14.2,635.0,64734.0,0.394,2,4,0,-0.039,1
54.0,45568.0,3836.0,13.0,754.0,11414.0,0.294,0,4,0,0.122,0
21.0,59603.0,4920.0,0.6,729.0,11769.0,0.244,1,4,1,-0.246,1
35.0,72262.0,5707.0,3.6,647.0,50237.0,0.401,0,1,0,-1.111,1
40.0,37116.0,3051.0,12.9,687.0,27429.0,0.433,1,0,0,-0.021,1
41.0,53226.0,4393.0,5.5,630.0,16715.0,0.281,2,2,0,-1.466,0
34.0,48782.0,3991.0,11.5,584.0,13963.0,0.298,1,2,0,-0.805,0
21.0,43646.0,3607.0,0.7,814.0,25181.0,0.259,0,2,0,-0.494,0
42.0,45126.0,3822.0,8.3,626.0,9951.0,0.322,0,2,1,1.072,0
57.0,90717.0,7554.0,24.4,693.0,63334.0,0.191,2,2,0,0.066,1
21.0,42013.0,3570.0,0.4,554.0,2369.0,0.031,2,3,0,-0.977,0
48.0,70967.0,5736.0,4.3,714.0,11113.0,0.113,1,3,0,1.095,0
34.0,63364.0,5248.0,3.4,577.0,8904.0,0.278,4,4,0,-0.125,1
37.0,29332.0,2350.0,4.7,780.0,8459.0,0.193,1,1,0,-0.994,0
26.0,69474.0,5740.0,1.5,787.0,48605.0,0.288,0,1,0,0.624,0
34.0,29115.0,2376.0,9.7,704.0,15431.0,0.249,0,3,1,0.165,0
52.0,72965.0,6236.0,23.9,680.0,9530.0,0.229,0,0,0,-2.229,0
44.0,43776.0,3678.0,11.2,652.0,4780.0,0.235,0,2,1,0.158,0
57.0,55207.0,4694.0,36.6,675.0,14703.0,0.397,1,5,0,-0.687,0
51.0,30720.0,2538.0,27.6,702.0,15817.0,0.324,0,2,0,-0.826,0
43.0,58114.0,4744.0,2.0,667.0,28785.0,0.456,1,1,0,-0.319,1
57.0,83468.0,6809.0,17.1,737.0,11324.0,0.31,0,0,0,-1.831,0
43.0,38252.0,3205.0,20.7,606.0,23739.0,0.109,3,1,0,-0.24,1
47.0,41851.0,3614.0,6.0,770.0,21938.0,0.196,2,3,0,0.269,0
35.0,67485.0,5670.0,5.6,633.0,53131.0,0.312,1,2,0,-0.833,1
39.0,68249.0,5645.0,17.7,617.0,31698.0,0.324,1,2,1,-0.296,0
30.0,18393.0,1527.0,8.0,689.0,5435.0,0.241,0,1,0,0.041,1
